,UnitId,Text,X.M..language..,X.M..object_posted_time..,id,detected,value,ambiguity
818,"tag:search.twitter.com,2005:874683286412443648",rt @latimes: get ready for a major earthquake. what to do before — and during — a big one https://t.co/jnezyg4kvr ,en,6/13/2017 5:26:10 PM,818,NA,5,2
47284,"tag:search.twitter.com,2005:874273577704488960","rt @usgsbigquakes: prelim m6.3 earthquake near the coast of western turkey jun-12 12:28 utc, updates https://t.co/aohb1gac3r ",en,6/12/2017 12:48:11 PM,47284,NA,5,1
10318,"tag:search.twitter.com,2005:874897158293663745",@lisecob that is a pretty big earthquake.. ,en,6/14/2017 7:51:51 AM,10318,NA,5,2
37354,"tag:search.twitter.com,2005:874244242163605507",rt @lastquake: felt #earthquake m6.0 strikes 86 km nw of #izmir (#turkey) 3 min ago. please report to: https://t.co/qi9jlrrai0 https://t.co… ,en,6/12/2017 12:32:08 PM,37354,NA,3,2
33241,"tag:search.twitter.com,2005:874147055152779264","rt @usgsbigquakes: prelim m5.6 earthquake pacific-antarctic ridge jun-10 05:42 utc, updates https://t.co/lnnu6jhhsk ",en,6/10/2017 6:04:00 AM,33241,NA,5,1
60063,"tag:search.twitter.com,2005:874350876588113920","πολύ ισχυρός σεισμός 6,1 ρίχτερ με επίκεντρο ανάμεσα σε λέσβο - χίο https://t.co/wmltqyquuh ",el,6/12/2017 7:41:08 PM,60063,NA,5,2
45410,"tag:search.twitter.com,2005:874265073434451969",rt @dnaultra4: it seems very severe event unfortunately.50% of houses in vryssa village lesvos island have collapsed or are damage…  ,en,6/12/2017 1:53:05 PM,45410,NA,7,2
331,"tag:search.twitter.com,2005:874673874905989121",pretty sure i felt a man made earthquake when this happened https://t.co/q0ui5vlmup ,en,6/13/2017 5:04:37 PM,331,NA,3,1
64891,"tag:search.twitter.com,2005:874404713588019202",rt @ajenews: a powerful earthquake kills a woman and destroys houses on the greek island of lesbos https://t.co/uq7g3pw8d2 https://t.co/qub… ,en,6/12/2017 9:45:06 PM,64891,NA,5,2
39780,"tag:search.twitter.com,2005:874248207731015681",rt @lastquake: latest map of the felt reports collected at emsc after m6.3 #earthquake https://t.co/mbibfnjrmu ,en,6/12/2017 12:49:25 PM,39780,NA,3,1
39637,"tag:search.twitter.com,2005:874248009009201152",έκτακτο - ισχυρός σεισμός άνω των 6 ρίχτερ στα ανοικτά της λέσβου - mag24 https://t.co/buyn7tw7nh ,el,6/12/2017 12:52:22 PM,39637,NA,5,2
71342,"tag:search.twitter.com,2005:874517354537000960",rt @lastquake: felt #earthquake m6.0 strikes 86 km nw of #izmir (#turkey) 3 min ago. please report to: https://t.co/qi9jlrrai0 https://t.co… ,en,6/12/2017 12:32:08 PM,71342,NA,3,2
65767,"tag:search.twitter.com,2005:874421415939911680","new story on npr: earthquake kills woman, damages buildings on greek island https://t.co/pydmbskrux ",en,6/13/2017 12:21:26 AM,65767,NA,7,2
12572,"tag:search.twitter.com,2005:874903093007310852","rt @felipeandres75: ⚠powerful #earthquake (#sismo) mw=6.9 - 144 km w of #guatemalacity, #guatemala. depth: 105 km.more info at:…  ",en,6/14/2017 8:09:23 AM,12572,NA,5,2
38130,"tag:search.twitter.com,2005:874245170824433666",rt @lastquake: felt #earthquake m6.0 strikes 86 km nw of #izmir (#turkey) 3 min ago. please report to: https://t.co/qi9jlrrai0 https://t.co… ,en,6/12/2017 12:32:08 PM,38130,NA,3,2
9063,"tag:search.twitter.com,2005:874893883553046529",rt @bnonews: breaking: strong earthquake hits the mexico-guatemala border - seismologists ,en,6/14/2017 7:37:18 AM,9063,NA,5,2
10304,"tag:search.twitter.com,2005:874896894312558592","rt @usgsbigquakes: prelim m6.9 earthquake mexico-guatemala border region jun-14 07:29 utc, updates https://t.co/mzxnvgohrk ",en,6/14/2017 7:49:51 AM,10304,NA,5,1
40258,"tag:search.twitter.com,2005:874249330689003520","σεισμός 6,2 #ρίχτερ στη μυτιλήνη, #αισθητός σε όλη την ελλάδα! [newsit]https://t.co/csligmncqb ",el,6/12/2017 12:57:37 PM,40258,NA,3,2
66218,"tag:search.twitter.com,2005:874428986046152704","goo news earthquake kills woman, damages buildings on greek island - npr: npr earthquake… https://t.co/dcqvcdface ",en,6/13/2017 12:51:31 AM,66218,NA,7,2
65832,"tag:search.twitter.com,2005:874422443712151552","earthquake: magnitude 2.5, pilbara, wa (reported felt). https://t.co/smcs1p6qbq ",en,6/13/2017 12:25:31 AM,65832,NA,3,2
21145,"tag:search.twitter.com,2005:874978623157141506",rt @lastquake: this powerful #quake (#sismo) was felt in #guatemala. felt it? report to: https://t.co/3juaxjezlr ,en,6/14/2017 7:41:37 AM,21145,NA,3,2
40158,"tag:search.twitter.com,2005:874249016472731648",rt @lastquake: latest map of the felt reports collected at emsc after m6.3 #earthquake https://t.co/mbibfnjrmu ,en,6/12/2017 12:49:25 PM,40158,NA,3,1
63921,"tag:search.twitter.com,2005:874391183811891203",rt @bankwars: η καρδιά της ελλάδας χτυπά στη σεισμόπληκτη μυτιλήνη – νύχτα αγωνίας μετά τον μεγάλο σεισμό https://t.co/d0t3gly8rp ,el,6/12/2017 9:44:28 PM,63921,NA,6,2
62535,"tag:search.twitter.com,2005:874375157841788928",μυτιλήνη – σεισμός: προς εκκένωση το χωριό βρίσα https://t.co/jdpjrirebe ,el,6/12/2017 9:17:37 PM,62535,NA,7,2
42601,"tag:search.twitter.com,2005:874255040046878720","rt @humeyra_pamuk: earthquake w/magnitude of 6.3 struck #turkey's western coast, felt in #istanbul &amp; aegean city of izmir. no damage/casual… ",en,6/12/2017 12:43:14 PM,42601,NA,3,2
75915,"tag:search.twitter.com,2005:874602577895317504",fear of more tremors as aegean sea is hit by large earthquake https://t.co/yqsjyylnw7 ,en,6/13/2017 12:21:18 PM,75915,NA,7,2
8502,"tag:search.twitter.com,2005:874883524825894912",rt @cinarfm: çınar fm - σοβαρές ζημιές και τραυματίες στη λέσβο από το σεισμό https://t.co/1ybztdnayc @cinarfm aracılığıyla ,el,6/12/2017 3:27:45 PM,8502,NA,7,2
56167,"tag:search.twitter.com,2005:874330967111999492",ισοπεδώθηκε το χωριό βρίσα. κραυγή αγωνίας του αντιδήμαρχου λέσβου https://t.co/m7i1xtocbw https://t.co/dbgpbt3zse ,el,6/12/2017 6:22:01 PM,56167,NA,6,2
54759,"tag:search.twitter.com,2005:874321658693246977",10 injured and buildings damaged after 6.2-magnitude earthquake in turkey and greece https://t.co/ufnc6jodbd https://t.co/z0xxqoadya ,en,6/12/2017 5:45:02 PM,54759,NA,7,2
30772,"tag:search.twitter.com,2005:874081887970570240","strong, shallow earthquake rattles indonesia&amp;amp;#39;s capital #worldnews https://t.co/kkbtmyriyb ",en,6/12/2017 1:52:16 AM,30772,NA,5,2
20109,"tag:search.twitter.com,2005:874963660585787393",συνεχείς κατολισθήσεις στη μυτιλήνη: κλείνει ο δρόμος πλωμαρίου -μελίντας https://t.co/aqgvquzdko ,el,6/14/2017 12:16:07 PM,20109,NA,6,2
48328,"tag:search.twitter.com,2005:874278423862149123","powerful earthquake rattles turkey, greek island #worldnews https://t.co/ebl4fzglsd ",en,6/12/2017 2:53:14 PM,48328,NA,5,2
26667,"tag:search.twitter.com,2005:875070297103147010",rt @meteorologo777: breaking: heavy #earthquake magnitude 6.9 has struck #guatemala at 07:29 utc. it is feared dozens of deaths. https://t.… ,en,6/14/2017 8:27:11 AM,26667,NA,7,2
20072,"tag:search.twitter.com,2005:874963326119415808",συνεχείς κατολισθήσεις στη μυτιλήνη: κλείνει ο δρόμος πλωμαρίου -μελίντας https://t.co/t6w0bz8qdm ,el,6/14/2017 12:14:47 PM,20072,NA,6,2
16845,"tag:search.twitter.com,2005:874936206546669568","rt @earthquakesnow: strong earthquake, 6.9 mag was detected near tajumulco in guatemala - https://t.co/qyupyupzyt #earthquake #quake ",en,6/14/2017 8:01:30 AM,16845,NA,5,2
65847,"tag:search.twitter.com,2005:874422407548858369","earthquake kills woman, damages buildings on greek island https://t.co/tlnfs75zs6 ",en,6/13/2017 12:25:22 AM,65847,NA,7,2
53316,"tag:search.twitter.com,2005:874310251931201539",rt @luckycardigan: 6.3 earthquake rattles #lesbos. #refugees &amp; residents largely okay. reports of damage to villages. @theirc has offered s… ,en,6/12/2017 4:52:35 PM,53316,NA,7,2
40300,"tag:search.twitter.com,2005:874249285256269824","rt @etyposgr: έκτακτο: ισχυρός σεισμός 6,3 ρίχτερ στην μυτιλήνη - κατέρρευσαν σπίτια στο πλωμάρι https://t.co/ugw2xnjikl ",el,6/12/2017 12:47:29 PM,40300,NA,5,2
44337,"tag:search.twitter.com,2005:874261272526827521","κατέρρευσαν σπίτια στο πλωμάρι, πληροφορίες για τραυματίες (συνεχησ ροη) - δειτε φωτο και βιντεο - https://t.co/vg9k5ankuo via @shareaholic ",el,6/12/2017 1:45:05 PM,44337,NA,9,2
34947,"tag:search.twitter.com,2005:874208057089282049",κι όμως η #γενοπ_δεη έχει δίκιο: η κλιματική αλλαγή μοιάζει μύθος --αν συγκρίνει κανείς με τις άμεσες ζημιές που προκάλεσε ο λιγνίτης ,el,6/12/2017 10:13:37 AM,34947,NA,7,1
48928,"tag:search.twitter.com,2005:874281744001880065",μεγάλες υλικές ζημιές και τραυματισμοί στη λέσβο από τον ισχυρό σεισμό  #moneypress #seismos https://t.co/fbf1rxknvb https://t.co/kshj5vo19d ,el,6/12/2017 3:06:25 PM,48928,NA,7,2
39610,"tag:search.twitter.com,2005:874248149984055296",ισχυρός σεισμός στο αιγαίο | trt  ελληνικά https://t.co/orr3avfvpg ,el,6/12/2017 12:52:56 PM,39610,NA,5,2
59649,"tag:search.twitter.com,2005:874348071005585408","σεισμός 6,1 ρίχτερ: μεγάλες καταστροφές στη μυτιλήνη - νεκρή ανασύρθηκε εγκλωβισμένη 45χρονη γυναίκα (ενημέρωση)... https://t.co/q99zyudaaf ",el,6/12/2017 7:29:59 PM,59649,NA,9,2
47016,"tag:search.twitter.com,2005:874271957201584128","μεγάλες ζημιές έχει προκαλέσει ο σεισμός των 6,1 ρίχτε στο βόρειο αιγαίο. σύμφωνα με πληροφορίες στο χωριό βρίσα... https://t.co/f5opwqxoc7 ",el,6/12/2017 2:27:32 PM,47016,NA,7,2
41520,"tag:search.twitter.com,2005:874251972244885505",rt @lastquake: powerful #earthquake shakes near the coast of western turkey 2 min ago. more info at: https://t.co/qi9jlrrai0 https://t.co/y… ,en,6/12/2017 12:31:31 PM,41520,NA,5,2
59948,"tag:search.twitter.com,2005:874349905929801728",rt @elensioz: @myrmithonas εμείς όχι.... το σύστημα που είναι επάνω τώρα τι κάνει? ανεπανόρθωτες ζημιές...αφανιζομαστε και δεν λέ…  ,el,6/12/2017 7:37:10 PM,59948,NA,7,2
15576,"tag:search.twitter.com,2005:874930330033168384","rt @usgsbigquakes: prelim m6.9 earthquake mexico-guatemala border region jun-14 07:29 utc, updates https://t.co/mzxnvgohrk ",en,6/14/2017 7:49:51 AM,15576,NA,5,1
23709,"tag:search.twitter.com,2005:875019274070446081",massive 6.9 earthquake triggers landslides in guatemala a magnitude 6.9 earthquake in western guatemala near... https://t.co/nsfhnurvzh ,en,6/14/2017 3:57:06 PM,23709,NA,6,2
65695,"tag:search.twitter.com,2005:874420330147627008","earthquake kills woman, damages buildings on greek island https://t.co/m1e43aow4f ",en,6/13/2017 12:17:07 AM,65695,NA,7,2
49272,"tag:search.twitter.com,2005:874283746945638400",@neca_toys holy shit!!!! i just felt some tremors. i think this post just caused an earthquake! https://t.co/vaq8hchlum ,en,6/12/2017 3:14:23 PM,49272,NA,3,2
47061,"tag:search.twitter.com,2005:874272082208714753",η μοναξια τησ αληθειασ: καταστροφικός ο σεισμός στην λέσβο: eγκλωβισμένοι ... https://t.co/j0awpwprbn ,el,6/12/2017 2:28:02 PM,47061,NA,7,2
54910,"tag:search.twitter.com,2005:874322728894873600","""out of the ruins"" survival during mighty san francisco earthquake https://t.co/dvekn8n9tp #ocw… https://t.co/xrb4vp26rq ",en,6/12/2017 5:49:17 PM,54910,NA,10,2
65943,"tag:search.twitter.com,2005:874424144351383552","rt @npr: earthquake kills woman, damages buildings on greek island https://t.co/m1e43aow4f ",en,6/13/2017 12:17:07 AM,65943,NA,7,2
55119,"tag:search.twitter.com,2005:874324104706502661",rt @kathimerini_gr: λέσβος: νεκρή ανασύρθηκε η γυναίκα που είχε εγκλωβιστεί σε ερείπια στο χωριό βρίσα https://t.co/31zy2pkkfl ,el,6/12/2017 5:42:08 PM,55119,NA,9,2
59578,"tag:search.twitter.com,2005:874347217418584064",greece earthquake hits lesbos: tremors felt in istanbul and athens https://t.co/5g9ux1uqyy ,en,6/12/2017 7:26:35 PM,59578,NA,3,2
51349,"tag:search.twitter.com,2005:874296325914996736",rt @newsbombgr: σεισμός μυτιλήνη: εικόνες καταστροφής στο πλωμάρι – αποκλεισμένοι δρόμοι λόγω κατολισθήσεων https://t.co/dgkg70n4ev https:/… ,el,6/12/2017 3:36:52 PM,51349,NA,7,2
63132,"tag:search.twitter.com,2005:874382235981365248",rt @ajenews: a powerful earthquake kills a woman and destroys houses on the greek island of lesbos https://t.co/uq7g3pw8d2 https://t.co/qub… ,en,6/12/2017 9:45:06 PM,63132,NA,5,2
61134,"tag:search.twitter.com,2005:874361610428612609","#earthquake kills woman, guts houses on #greek island of #lesbos https://t.co/yibcrytyav ",en,6/12/2017 8:23:47 PM,61134,NA,10,2
38256,"tag:search.twitter.com,2005:874245531983335424","ισχυρός σεισμός 6,3 ρίχτερ μεταξύ χίου και μυτιλήνης  https://t.co/wlgbiifvzn ",el,6/12/2017 12:42:32 PM,38256,NA,5,2
71859,"tag:search.twitter.com,2005:874528160645337089",σοκάρει ο πρώτος απολογισμός σε ζημίες από τον χθεσινό σεισμό- 12 χώρια έχουν υποστεί ζημιές στη μυτιλήνη https://t.co/1ucfxzaggt ,el,6/13/2017 7:25:36 AM,71859,NA,7,2
45468,"tag:search.twitter.com,2005:874265400795701248","rt @usgsbigquakes: prelim m6.3 earthquake near the coast of western turkey jun-12 12:28 utc, updates https://t.co/aohb1gac3r ",en,6/12/2017 12:48:11 PM,45468,NA,5,1
68612,"tag:search.twitter.com,2005:874472073602764801","#news #earthquake earthquake kills woman, damages buildings on greek island - npr: npr earthquake kills woman… https://t.co/ko46hy9luk ",en,6/13/2017 3:42:43 AM,68612,NA,7,2
55446,"tag:search.twitter.com,2005:874326046644080641",rt @fvccre: 6.3 earthquake @#cemrmeets in chios a big thright but no injured... policy committee interupted until tomorrow…  ,en,6/12/2017 1:46:59 PM,55446,NA,5,1
74407,"tag:search.twitter.com,2005:874576712096505856","one killed, 11 others injured as strong earthquake hits eastern greece - xinhua #earthquake https://t.co/a4cegvjn4d ",en,6/13/2017 10:38:31 AM,74407,NA,5,2
39295,"tag:search.twitter.com,2005:874247623452098560","rt @usgsbigquakes: prelim m6.3 earthquake near the coast of western turkey jun-12 12:28 utc, updates https://t.co/aohb1gac3r ",en,6/12/2017 12:48:11 PM,39295,NA,5,1
47504,"tag:search.twitter.com,2005:874274172213616640","fox #worldnews earthquake strikes western turkey, greek island; dozens of buildings damaged https://t.co/zhptakpout ",en,6/12/2017 2:36:20 PM,47504,NA,7,2
21076,"tag:search.twitter.com,2005:874977781305704454","πανικός στο κομμωτήριο, η κομμώτρια σίγουρα της ρίχνει κατάρες #shoppingstar ",el,6/14/2017 1:12:14 PM,21076,NA,7,1
7423,"tag:search.twitter.com,2005:874853614287716352",νέος δυνατός #σεισμός ταρακούνησε τη λέσβο στις 07.35 https://t.co/sb0xgd6r3i ,el,6/14/2017 4:58:50 AM,7423,NA,5,2
22075,"tag:search.twitter.com,2005:874992861179031552",σεισμός μυτιλήνη: σοβαρές ζημιές στο μητροπολιτικό ναό του αγ.αθανασίου https://t.co/qkoh7bnlad #νεα #seismos ,el,6/14/2017 2:12:09 PM,22075,NA,7,2
37636,"tag:search.twitter.com,2005:874244531507613696",rt @xenakissotiris: ισχυρός σεισμός 6 ρίχτερ μεταξύ χίου και  μυτιλήνης  https://t.co/wlgbiifvzn ,el,6/12/2017 12:37:11 PM,37636,NA,5,2
43809,"tag:search.twitter.com,2005:874259001013415937","rt @protothema: hurriyet: πανικός σε σμύρνη, προύσσα και κωνσταντινούπολη από τον σεισμό https://t.co/y2ic4wl9mo https://t.co/mik00nkcpv ",el,6/12/2017 1:31:16 PM,43809,NA,7,1
778,"tag:search.twitter.com,2005:874682656960778241","rt @npr: earthquake kills woman, damages buildings on greek island https://t.co/m1e43aow4f ",en,6/13/2017 12:17:07 AM,778,NA,7,2
49453,"tag:search.twitter.com,2005:874284808616239105","πολύ ισχυρός σεισμός 6,1 ρίχτερ με επίκεντρο ανάμεσα σε χίο και λέσβο https://t.co/dkaqc04iov ",el,6/12/2017 3:18:36 PM,49453,NA,5,2
60188,"tag:search.twitter.com,2005:874352191368286208","rt @dailysabah: panic, damage on greek island of lesbos after an earthquake in the aegean sea | ds gallery https://t.co/0qjvvycdb4 https://… ",en,6/12/2017 7:37:29 PM,60188,NA,7,2
12319,"tag:search.twitter.com,2005:874902508212293632",rt @evankirstel: signs of past #california 'mega-quakes' show danger of the big one on san andreas fault https://t.co/unm5le9hio…  ,en,6/14/2017 12:30:09 AM,12319,NA,5,1
10638,"tag:search.twitter.com,2005:874897930813136897",rt @bnonews: more: a powerful 7.0-magnitude earthquake has struck the guatemala-mexico border https://t.co/ppcun8znkt https://t.co/4zkfempz… ,en,6/14/2017 7:44:49 AM,10638,NA,5,2
76311,"tag:search.twitter.com,2005:874611485644861440",rt: thetls - reflecting on the chequered history of le marche as repairs begin on its earthquake-damaged buildings https://t.co/2vcpycogaf ,en,6/13/2017 12:56:42 PM,76311,NA,7,2
34970,"tag:search.twitter.com,2005:874208977533513729",u.k. in chaos; macron's big win; earthquake at uber - 1. u.k. in chaos: british prime minister theresa may rema... https://t.co/b2sotg8kxd ,en,6/12/2017 10:17:16 AM,34970,NA,5,1
25306,"tag:search.twitter.com,2005:875042726202531847","rt @usgsbigquakes: prelim m5.8 earthquake vanuatu jun-14 00:25 utc, updates https://t.co/cekvna0guo ",en,6/14/2017 12:45:30 AM,25306,NA,5,1
39135,"tag:search.twitter.com,2005:874247406073901057",rt @lastquake: felt #earthquake m6.0 strikes 86 km nw of #izmir (#turkey) 3 min ago. please report to: https://t.co/qi9jlrrai0 https://t.co… ,en,6/12/2017 12:32:08 PM,39135,NA,3,2
53037,"tag:search.twitter.com,2005:874308382810931200",rt @blobrana: turkey earthquake: tremors felt in istanbul and athenshttps://t.co/pihvif16xr ,en,6/12/2017 4:44:08 PM,53037,NA,3,2
52654,"tag:search.twitter.com,2005:874305621956452358","rt @usgsbigquakes: prelim m6.3 earthquake near the coast of western turkey jun-12 12:28 utc, updates https://t.co/aohb1gac3r ",en,6/12/2017 12:48:11 PM,52654,NA,5,1
43569,"tag:search.twitter.com,2005:874258067340349441","σεισμός 6,1 ρίχτερ ανοιχτά της μυτιλήνης - ζημιές στο πλωμάρι https://t.co/gkrjedjrcs ",el,6/12/2017 1:32:20 PM,43569,NA,7,2
49498,"tag:search.twitter.com,2005:874285128096395265",κάτοικος βρισάς: τα 9 στα 10 σπίτια είτε έχουν γκρεμιστεί ή έχουν ζημιές https://t.co/wkoq520xmq ,el,6/12/2017 3:19:52 PM,49498,NA,7,2
47914,"tag:search.twitter.com,2005:874276199228469251",strong earthquake strikes western turkey https://t.co/mhfyvedoye https://t.co/t7thub7jaf ,en,6/12/2017 2:44:23 PM,47914,NA,5,2
39048,"tag:search.twitter.com,2005:874247037025386496","rt @usgsbigquakes: prelim m6.3 earthquake near the coast of western turkey jun-12 12:28 utc, updates https://t.co/aohb1gac3r ",en,6/12/2017 12:48:11 PM,39048,NA,5,1
19393,"tag:search.twitter.com,2005:874954686842974208",strong preliminary magnitude 6.9 earthquake strikes near guatemala-mexico border: https://t.co/mbl0lkkgdx - latest news headlines - ninems… ,en,6/14/2017 11:40:27 AM,19393,NA,5,2
54770,"tag:search.twitter.com,2005:874321719598645249",λέσβος: νεκρή ανασύρθηκε γυναίκα που είχε εγκλωβιστεί στη βρίσα https://t.co/p8fatiqw89 ,el,6/12/2017 5:45:16 PM,54770,NA,9,2
78316,"tag:search.twitter.com,2005:874639912397615105",rt @enikos_gr: εικόνες καταστροφής στη βρίσα λέσβου - οι κάτοικοι μαζεύουν τα λιγοστά τους υπάρχοντα - φωτο https://t.co/jdojp55lhg ,el,6/13/2017 12:11:29 PM,78316,NA,7,2
75432,"tag:search.twitter.com,2005:874594011192938496",#dirtybook_gr #survivorgr #survivorpanoramagr μενίδι ώρα 0. το απαγορευμένο βίντεο οι μολότωφ και ο πανικός https://t.co/djmmribgoz ,el,6/13/2017 11:47:16 AM,75432,NA,7,1
77785,"tag:search.twitter.com,2005:874633944246910979",rt @aybigeakinci: aftershocks of m6.3 aegean earthquake https://t.co/q2lmvnigri ,en,6/13/2017 9:55:26 AM,77785,NA,5,1
42487,"tag:search.twitter.com,2005:874254714866552833",ζημιές σε σπίτια στο πλωμάρι από τον ισχυρό σεισμό. ανάστατοι οι κάτοικοι https://t.co/0fvxtan6sl #κοινωνία https://t.co/dcwqg6zk6f ,el,6/12/2017 1:19:01 PM,42487,NA,7,2
48628,"tag:search.twitter.com,2005:874280234358591488","πολύ ισχυρός σεισμός 6,1 ρίχτερ με επίκεντρο ανάμεσα σε χίο και λέσβο (video - φώτο) https://t.co/wdsqx4culq ",el,6/12/2017 3:00:25 PM,48628,NA,5,2
