ID,text,amb
42,"#scifact 3/27/1964, magnitude 9.2 earthquake hit alaska. 2nd most powerful earthquake ever recorded... ",2
43,"#scifact 3/27/1964, magnitude 9.2 earthquake hit alaska. 2nd most powerful earthquake ever recorded… ",2
1074,#seismos #σεισμός κατέρρευσαν σπίτια στο πλωμάρι από τον σεισμό – καταστροφές στην προύσα [βίντεο],2
937,#seismos #σεισμός κατέρρευσαν σπίτια στο πλωμάρι από τον σεισμό – καταστροφές στην προύσα [βίντεο] ,2
44,#seismos Θα ρίξει ο Θεός φωτιά μας κάψει γαμώ τα πουστοπράιντ σας ,1
45,"#seismos ο σεισμός ήταν μεγάλος,κόσμος έχασε σπίτια,ζημιές τεράστιες,αλλά εγώ θέλω λαικ στο τουιτα,ας πω για τσίπρα και λέσβο-μυτιλήνη...ζώα ",2
564,"#turkey : #earthquake shakes western #turkey, dozens of homes in #lesbos were damaged, roads were closed, no report… ",2
1075,"#turkey : #earthquake shakes western #turkey, dozens of homes in #lesbos were damaged, roads were closed, no report… ",2
1076,#turkey earthquake: tremors felt in istanbul and athens -,2
988,#turkey earthquake: tremors felt in istanbul and athens - ,2
46,#twitternewschat u.k. in chaos; macron's big win; earthquake at uber ,1
47,#video#earthquake in #lesbos island in greece has felted all over western turkey. ,2
1077,#vimasociety σπίρτζης: θα ανακατασκευαστούν τα σπίτια που κατέρρευσαν στη βρύσα,2
973,#vimasociety σπίρτζης: θα ανακατασκευαστούν τα σπίτια που κατέρρευσαν στη βρύσα ,2
48,"#κλειδί ημαθίας: #φωτιά σε #κουζίνα σπιτιού, με σημαντικές υλικές ζημιές. – βίντεο-φωτο ",1
1078,"#σεισμός λέσβος: κατέρρευσαν παλιά σπίτια στο πλωμάρι, &amp; ο τρούλος του ναού του αγ.παντελεήμονα. ζημιές και στον οικισμό της πλαγιάς",2
428,"#σεισμός λέσβος: κατέρρευσαν παλιά σπίτια στο πλωμάρι, &amp; ο τρούλος του ναού του αγ.παντελεήμονα. ζημιές και στον οικισμό της πλαγιάς ",2
366,#σεισμός μία γυναίκα εγκλωβισμένη κάτω από τα ερείπια στα βρισά λέσβου |διαρκής ενημέρωση: ,2
1079,#σεισμός μία γυναίκα εγκλωβισμένη κάτω από τα ερείπια στα βρισά λέσβου |διαρκής ενημέρωση: ,2
420,#σεισμός μυτιλήνη: εγκλωβισμένη γυναίκα στα συντρίμμια του σπιτιού της στη βρίσα [cnn.gr],2
1080,#σεισμός μυτιλήνη: εγκλωβισμένη γυναίκα στα συντρίμμια του σπιτιού της στη βρίσα [cnn.gr],2
49,▶@cnnbrk: u.k. in chaos; macron's big win; earthquake at uber ,1
567,🇬🇷toll stands at 1 dead as far as i know. several houses collapsed in #vrissa #lesvos. roads damaged around… ,2
1081,🇬🇷toll stands at 1 dead as far as i know. several houses collapsed in #vrissa #lesvos. roads damaged around… ,2
826,🇹🇷 earthquake felt in several cities - including istanbul and izmir -along the west coast of turkey.  // @cnnturk ,2
50,🗓️ σαν σήμερα 14 ιουνίου για καιρικά γεγονότα και τα λοιπά: ✔️1897: σοβαρές ζημιές στη σιδηροδρομική σύνδεση... ,1
1082,🙏 no damage in xios. prayers to those affected,1
1039,"1 day after 6.3 #earthquake #lesbos (1 dead, 10 injured, substantial damage in south) more than 100 aftershocks, of… ",2
51,"1.7 magnitude #earthquake. 9 mi from big pine, ca, ##unitedstates ",1
437,10 injured and buildings damaged after 6.2-magnitude earthquake in turkey and greece ,2
1083,10 injured and buildings damaged after 6.2-magnitude earthquake in turkey and greece ,2
517,134 fire stations in #guatemala are monitoring for damage after 7mag #earthquake at #mexico-#guatemala border. ,1
1084,134 fire stations in #guatemala are monitoring for damage after 7mag #earthquake at #mexico-#guatemala border. ,1
408,"150 σπίτια κρίθηκαν ακατοίκητα στα βρισά της λέσβου,350 οι άστεγοι ",2
1085,"150 σπίτια κρίθηκαν ακατοίκητα στα βρισά της λέσβου,350 οι άστεγοι ",2
52,2 γεγονότα σε 2 μερες!αμύνταιο κ μυτιλήνη .κατολίσθηση κ σεισμος.ειναι να μην παει ο νους σου στις #skouries ;;; ,1
53,"2ls 1 chang s15e22 ""fracking a cold one with the boys""ryan and ll exploit the energy crisis by fracking, leading to a big ass earthquake ",1
523,"6,1 richter earthquake kills 1 woman, injures 15 other people, damagesbuildings on the greek island of lesvos ",2
1086,"6,1 richter earthquake kills 1 woman, injures 15 other people, damagesbuildings on the greek island of lesvos ",2
1087,"6,3 r earthquake between greek islandsit was felt in turkey toohope everyone and everything is good",2
898,"6,3 r earthquake between greek islandsit was felt in turkey toohope everyone and everything is good ",2
537,"6.1 richter earthquake; 1 dead, major damages and injuries on lesbos ",2
1088,"6.1 richter earthquake; 1 dead, major damages and injuries on lesbos ",2
597,"6.2 #earthquake rocks greek island; homes damaged, 10 injured . ",2
1089,"6.2 #earthquake rocks greek island; homes damaged, 10 injured . ",2
842,"6.2-magnitude earthquake hits aegean sea, felt in istanbul, neighboring provinces - local ",2
54,6.3 earthquake @#cemrmeets in chios a big thright but no injured... policy committee interupted until tomorrow… ,1
690,"6.3-magnitude quake rocks western turkey, greek island: a strong 6.3-magnitude earthquake… ",2
1090,"6.3-magnitude quake rocks western turkey, greek island: a strong 6.3-magnitude earthquake… ",2
612,"6.9 earthquake strikes guatemala; damage, landslides reported ",2
1092,"6.9 earthquake strikes guatemala; damage, landslides reported ",2
635,"6.9 earthquake strikes guatemala; damage, landslides reported @weatherchannel ",2
1091,"6.9 earthquake strikes guatemala; damage, landslides reported @weatherchannel ",2
620,"6.9mg earthquake shook western guate, near san marco, today, damaging homes and triggering landslides. ",2
1093,"6.9mg earthquake shook western guate, near san marco, today, damaging homes and triggering landslides. ",2
55,7 things to know before the bell - u.k. in chaos; macron's big win; earthquake at uber ,1
56,7 things to know before the bell: u.k. in chaos; macron's big win; earthquake at uber ,1
57,"7.0 ... earthquake reported in #guatemala...no reports of injuries/damage so far, no tsunami warning issued... ",1
58,a 6.3 magnitude powerful #earthquake occurred in near the coast of western #turkey ,2
914,"a big earthquake happened here, hope there are no victims:( ",2
912,"a big earthquake hit my island yesterday, many houses are desrtoyed and people are injured :( ",2
59,a big earthquake hit the town. ,2
60,"a mini earthquake has just happened in upperhill, have you felt one where you are? #electionske2017 ",1
748,a powerful 6.3 magnitude earthquake has struck the olomoinfo : earthquake hits turkey and greek island- kills one... ,2
1094,a powerful 6.3 magnitude earthquake has struck the olomoinfo : earthquake hits turkey and greek island- kills one... ,2
61,a powerful 6.3-magnitude earthquake struck the aegean coast of western… ,2
1095,a powerful earthquake has struck off the coast of turkey in the mediterranean. awaiting magnitude. may he a 6.0+ #earthquake,2
776,a powerful earthquake has struck off the coast of turkey in the mediterranean. awaiting magnitude. may he a 6.0+ #earthquake ,2
62,"a small new england earthquake in sanford, maine area yesterday, was much stronger 6.9 magnitude earthquake in… ",1
63,a strong 6.9-magnitude earthquake has hit an area near the guatemala-mexico border. striking near san pablo in guat… ,2
1096,"a strong earthquake has struck near the coast of western turkey, shaking buildings in the aegean province of izmir",2
731,"a strong earthquake has struck near the coast of western turkey, shaking buildings in the aegean province of izmir ",2
1097,a strong earthquake struck off the aegean coast of western turkey and the greek island of lesbos yesterday.,2
728,a strong earthquake struck off the aegean coast of western turkey and the greek island of lesbos yesterday. ,2
64,"after earthquake: expect and prepare for potential aftershocks, landslides or even a tsunami. tsunamis are often generated by earthquakes ",1
1098,am i the only one that felt the shake?? 😅 #earthquake,2
843,am i the only one that felt the shake?? 😅 #earthquake ,2
464,an earthquake in turkey and greece has damaged parts of lesbos -- details here: ,2
1099,an earthquake in turkey and greece has damaged parts of lesbos -- details here: ,2
65,"an earthquake with richter 6,3 in izmir city of turkey... no need to be in panic, keep calm please ",2
1100,and i think i felt the earthquake too,2
858,and i think i felt the earthquake too ,2
66,ap: it wasn't immediately clear if the earthquake caused any major damage in turkey or greece. … ,1
783,"at 2:29am central time, a strong earthquake has occurred in guatemala with a magnitude of 7.0. ",2
1101,"at 2:29am central time, a strong earthquake has occurred in guatemala with a magnitude of 7.0. ",2
568,"at least 10 injured, serious damage in #lesbos, after shallow m6.3 #earthquake hits #turkey - #greece border region. ",2
1102,"at least 10 injured, serious damage in #lesbos, after shallow m6.3 #earthquake hits #turkey - #greece border region. ",2
67,at least one person dead after a powerful 6.3 magnitude #earthquake struck the western coast of turkey and the gree… ,2
68,"back bay is filled land too, which will be an issue with an earthquake. we had a big one in the 18th century. i saw… ",1
901,bbc news - #greece #earthquake hits #lesbos: tremors felt in istanbul and athens ,2
872,bbc news - #greece #earthquake hits lesbos: tremors felt in #istanbul and #athens ,2
825,bbc news - greece earthquake hits lesbos: tremors felt in istanbul and athens ,2
1103,bbc news - turkey earthquake: tremors felt in istanbul and athens,2
902,bbc news - turkey earthquake: tremors felt in istanbul and athens ,2
814,"bbc: turkey earthquake: tremors felt in istanbul and athens - the tremors were felt in istanbul, athens and on ... ",2
69,"big, if true ... ",1
1104,"bnonews: breaking: strong earthquake hits the mexico-guatemala border - seismologists june 14, 2017 at 09:37am",2
678,"bnonews: breaking: strong earthquake hits the mexico-guatemala border - seismologists june 14, 2017 at 09:37am ",2
70,bnonews: update: initial reports of damage and several injuries after a strong earthquake struck the guatemala-mexico border … ,2
910,bnonews: update: initial reports of damage and several injuries after a strong earthquake struck the guatemala-mexico border … ,2
71,breaking: a strong 6.9-magnitude earthquake has hit an area near the #guatemala-mexico border. ,2
841,breaking: magnitude 6.3 #earthquake has just struck the island of lesvos . felt it in #athens and #istanbul as well… ,2
756,breaking: powerful earthquake strikes off coast of brit holiday hotspot ,2
1105,breaking: powerful earthquake strikes off coast of brit holiday hotspot ,2
72,business news: u.k. in chaos; macron's big win; earthquake at uber ,1
73,cnnmoney: what to watch:- u.k. in chaos- emmanuelmacron's big win- earthquake at uber ,1
739,contrary to my haarp tweet 15 hours ago: turkish mayor blames foreign power for big earthquake 🤔,2
1106,contrary to my haarp tweet 15 hours ago: turkish mayor blames foreign power for big earthquake 🤔,2
74,did you overhear that magnitude 6.9 earthquake triggers landslides in guatemala near mexico border ,1
495,drone καταγράφει την τεράστια καταστροφή που προκάλεσε ο σεισμός στη βρίσα ,2
1107,drone καταγράφει την τεράστια καταστροφή που προκάλεσε ο σεισμός στη βρίσα ,2
589,drone καταγράφει το μέγεθος της καταστροφής στη βρίσα ,2
1108,drone καταγράφει το μέγεθος της καταστροφής στη βρίσα ,2
864,"earhquake felt in seferihisar, izmir. there is no damage. ",2
75,earthquake 'the big one' could hit san andreas with force 'stronger than nuclear bomb' -  ,1
76,earthquake ‘the big one’ could hit san andreas with force ‘stronger than nuclear bomb’ ,1
77,earthquake ‘the big one’ could hit san andreas with force ‘stronger than nuclear bomb’ ,1
1109,"earthquake 1:29 am. 6.6 epicenter southwestern san marcos. 33 wounded 3 deceased. structural demage, landslides in highways. first 12 hours.",2
626,"earthquake 1:29 am. 6.6 epicenter southwestern san marcos. 33 wounded 3 deceased. structural demage, landslides in highways. first 12 hours. ",2
507,"earthquake 6.2 on the greek island of lesbos has badly damaged homes, killing one woman, injuring at least 10 people ",2
1110,"earthquake 6.2 on the greek island of lesbos has badly damaged homes, killing one woman, injuring at least 10 people ",2
911,"earthquake 6.9 hit guatemala and felt in mexico and el salvador today june 14, 2017 ",2
78,"earthquake 6.9 hit guatemala and felt in mexico and el salvador today june 14, 2017  ",2
869,earthquake felt in istanbul: ,2
1112,"earthquake kills woman, damages buildings on greek island",2
439,"earthquake kills woman, damages buildings on greek island ",2
1113,"earthquake kills woman, damages buildings on greek island ",2
539,"earthquake kills woman, damages buildings on greek island : the two-way : npr ",2
1111,"earthquake kills woman, damages buildings on greek island : the two-way : npr ",2
477,"earthquake kills woman, damages buildings on greek island: ",2
1114,"earthquake kills woman, damages buildings on greek island: ",2
463,"earthquake kills woman, damages buildings on greek island: the mayor said the island looked… ",2
1115,"earthquake kills woman, damages buildings on greek island: the mayor said the island looked… ",2
459,"earthquake kills woman, damages buildings on greek island) dekalb chronicle - ",2
1116,"earthquake kills woman, damages buildings on greek island) dekalb chronicle - ",2
396,"earthquake kills woman, destroys houses on lesbos ",2
1119,"earthquake kills woman, destroys houses on lesbos ",2
387,"earthquake kills woman, destroys houses on lesbos | greece news ",2
1118,"earthquake kills woman, destroys houses on lesbos | greece news ",2
382,"earthquake kills woman, destroys houses on lesbos | greece news -  ",2
1117,"earthquake kills woman, destroys houses on lesbos | greece news -  ",2
822,earthquake near lesbos felt in izmir turkey. bodrum - milas region everything ok! ,2
1120,earthquake off coast of turkey felt in athen,2
850,earthquake off coast of turkey felt in athens ,2
831,earthquake off coast of turkey felt in athens - ,2
861,earthquake off coast of turkey felt in athens - world ... ,2
380,earthquake rubble blocks roads in lesbos village ,2
1123,earthquake rubble blocks roads in lesbos village ,2
417,earthquake rubble blocks roads in lesbos village - ,2
1122,earthquake rubble blocks roads in lesbos village - ,2
419,earthquake rubble blocks roads in lesbos village - bbc ,2
1121,earthquake rubble blocks roads in lesbos village - bbc ,2
700,"earthquake shakes buildings in greece and turkey, 1 dead - a powerful 6.3 magnitude earthquake strikes the west... ",2
1124,"earthquake shakes buildings in greece and turkey, 1 dead - a powerful 6.3 magnitude earthquake strikes the west... ",2
863,earthquake strikes off turkey's coast near greek islands  the tremors were felt in istanbul and on some greek... ,2
473,"earthquake strikes western turkey, greek island; dozens of buildings damaged ",2
1125,"earthquake strikes western turkey, greek island; dozens of buildings damaged ",2
607,earthquake triggers landslides in western guatemala ,1
1126,earthquake triggers landslides in western guatemala ,1
1127,"earthquake w/magnitude of 6.3 struck #turkey's western coast, felt in #istanbul &amp; aegean city of izmir. no damage/casualties reported so far",2
878,"earthquake w/magnitude of 6.3 struck #turkey's western coast, felt in #istanbul &amp; aegean city of izmir. no damage/casualties reported so far ",2
803,"earthquake: magnitude 2.5, pilbara, wa (reported felt). ",2
1128,"earthquake: magnitude 2.5, pilbara, wa (reported felt). ",2
742,"exofitsio: ισχυρός #σεισμός 6,2 #ρίχτερ με επίκεντρο ανάμεσα σε #χίο και #λέσβο... : ",2
1129,"exofitsio: ισχυρός #σεισμός 6,2 #ρίχτερ με επίκεντρο ανάμεσα σε #χίο και #λέσβο... : ",2
552,exofitsio: λέκκας: ζημιές και σε αρχαιολογικά μνημεία… ,2
1130,exofitsio: λέκκας: ζημιές και σε αρχαιολογικά μνημεία… ,2
435,fear of more tremors as aegean sea is hit by large earthquake ,1
1131,fear of more tremors as aegean sea is hit by large earthquake ,1
854,felt #earthquake m4.3 strikes 52 km w of #aliağa (#turkey) 3 min ago. please report to: ,2
1132,felt a mini earthquake at 1:30am #guate17,2
812,felt a mini earthquake at 1:30am #guate17 ,2
1133,felt light #earthquake in sofia just now.  8th floor lightly swaying,2
881,felt light #earthquake in sofia just now.  8th floor lightly swaying ,2
79,felt this one - mm2 --- ,2
1134,flash96fm: χρ. σπίρτζης στον flash 96: «οι ζημιές στη λέσβο περιορίζονται σε συγκεκριμένους,2
548,flash96fm: χρ. σπίρτζης στον flash 96: «οι ζημιές στη λέσβο περιορίζονται σε συγκεκριμένους ,2
449,"fox #worldnews earthquake strikes western turkey, greek island; dozens of buildings damaged ",2
1135,"fox #worldnews earthquake strikes western turkey, greek island; dozens of buildings damaged ",2
1136,"fucking earthquake, i felt that i was dying",2
839,"fucking earthquake, i felt that i was dying ",2
80,get ready for a major earthquake. what to do before — and during — a big one ,1
433,"goo news earthquake kills woman, damages buildings on greek island - npr: npr earthquake… ",2
1137,"goo news earthquake kills woman, damages buildings on greek island - npr: npr earthquake… ",2
801,greece earthquake hits lesbos tremors felt in istanbul and... ,2
807,greece earthquake hits lesbos: tremors felt in istanbul and athens ,2
874,greece earthquake hits lesbos: tremors felt in istanbul and athens ,2
832,greece earthquake hits lesbos: tremors felt in istanbul and athens - ,2
821,greece earthquake hits lesbos: tremors felt in istanbul and athens - bbc news ,2
828,greece earthquake hits lesbos: tremors felt in istanbul and athens: a village on lesbos is so ba.. #breakingnews ,2
829,greece earthquake hits lesbos: tremors felt in istanbul and athens. this was predicted 48 hours prior. by dutchsinse ,2
340,greece: earthquake leaves lesbos homes in ruins ,2
1138,greece: earthquake leaves lesbos homes in ruins ,2
81,"greek seismologists worry about mild aftershocks on lesvos, fear new earthquake ",1
82,"greek seismologists worry about mild aftershocks on lesvos, fear new earthquake… ",1
555,groningen weather - &lt;p&gt;an earthquake with a preliminary magnitude of 6.2 damaged scores of homes on the eastern… ,2
1139,groningen weather - &lt;p&gt;an earthquake with a preliminary magnitude of 6.2 damaged scores of homes on the eastern… ,2
83,"guatemala city: a strong 6.9 magnitude earthquake hit western guatemala early on wednesday, killing at least one... ",2
613,"guatemala earthquake kills 2; damage, landslides reported @weatherchannel ",2
1140,"guatemala earthquake kills 2; damage, landslides reported @weatherchannel ",2
84,guatemala: magnitude 7 earthquakelondon: biggest fire in the building2 events happened in one day. ,1
85,h @corinacretueu απαντώντας σε ερώτησή μου διαβεβαίωσε ότι οι ζημιές απο φυσ.καταστροφές χρηματοδοτούνται έως και 100% απο εε@fm100thess ,1
86,hawaii's big island hit by m5.3 earthquake - insurance journal ,1
87,hawaii’s big island hit by m5.3 earthquake ,1
88,hawaii’s big island hit by m5.3 earthquake ,1
89,hawaii’s big island hit by m5.3 earthquake #insurance ,1
1141,hi there i have tweeted from japan. japan is a place very often earthquake. the big earthquake. and even dangerous nuclear power plant.,1
